corporate_allocation_after_exclusions_amt,corporate_allocation_amt,corporate_allocation_bps,gl_exception_amt,gl_exception_bps,gl_fee_income_amt,gl_fee_income_bps,gl_gos_amt,gl_gos_bps,gl_oi_amt,gl_oi_bps,llr_amt,llr_bps,loan_fin_component_id,loan_id,los_exception_amt,los_exception_bps,los_revenue_amt,los_revenue_bps,reporting_period_id,source_insert_datetime
-4436.4171,-270.1238,-270.1238,-33.7002,-33.7002,75.7967,75.7967,155,155,110,110,-3,-3,20,20,-33.7002,-33.7002,233.9,233.9,1,
-3746.7753,-220.4211,-220.4211,6.4,6.4,40.4728,40.4728,150,150,215,215,-3,-3,21,21,6.4,6.4,254.1,254.1,1,
-4147.1941,-299.1429,-299.1429,5,5,-8.172,-8.172,170,170,125,125,-3,-3,22,22,5,5,200,200,1,
0,-19.5168,-19.5168,0.2,0.2,3.9516,3.9516,56,56,35.6,35.6,-3,-3,23,23,0.2,0.2,142.2,142.2,1,
-3439.9533,-82.1333,-82.1333,0.4,0.4,24.0225,24.0225,158,158,80,80,-3,-3,24,24,0.4,0.4,225.1,225.1,1,
-3170.5393,-25.2718,-25.2718,2.9,2.9,6.6805,6.6805,89,89,66.7,66.7,-3,-3,25,25,2.9,2.9,158.6,158.6,1,
-2818.4458,-169.8799,-169.8799,-50.6,-50.6,53.6082,53.6082,174,174,80,80,-3,-3,26,26,-50.6,-50.6,237.7,237.7,1,
-3137.8652,-182.0588,-182.0588,-32.6,-32.6,54.8654,54.8654,180,180,78,78,-3,-3,27,27,-14,-14,145.4,145.4,1,
-4382.4955,-191.3194,-191.3194,-16.9001,-16.9001,56.909,56.909,244,244,78,78,-3,-3,28,28,-16.9001,-16.9001,181.1,181.1,1,
-4143.8805,-213.0612,-213.0612,-1.3998,-1.3998,79.2756,79.2756,233.0002,233.0002,78,78,-3.0002,-3.0002,29,29,-1.4002,-1.4002,269.6,269.6,1,
-4551.1529,-96.6422,-96.6422,-2.2,-2.2,21.4556,21.4556,120.9999,120.9999,104.9999,104.9999,-3,-3,30,30,-2.2,-2.2,123.8,123.8,1,
-4256.1823,-65.3361,-65.3361,4.7,4.7,14.1189,14.1189,192,192,61.9999,61.9999,-3,-3,31,31,4.7,4.7,261,261,1,
-3924.7504,-71.88,-71.88,-98.3,-98.3,-1.3616,-1.3616,181,181,78,78,-3,-3,32,32,-98.3,-98.3,171.6,171.6,1,
-4138.2696,-130.5,-130.5,0.5,0.5,26.7313,26.7313,195,195,124,124,-3,-3,33,33,0.5,0.5,308.8,308.8,1,
-4241.5392,-122.4444,-122.4444,-33.8,-33.8,36.4151,36.4151,165,165,24,24,-3,-3,34,34,-33.8,-33.8,155.8,155.8,1,
-3867.3393,-280.6098,-280.6098,-2.1002,-2.1002,72.7849,72.7849,175.0003,175.0003,229.9998,229.9998,-3.0001,-3.0001,35,35,-2.1002,-2.1002,324.5,324.5,1,
-3768.2719,-122.4561,-122.4561,6.1001,6.1001,27.923,27.923,130,130,170,170,-3,-3,36,36,6.1001,6.1001,246.9,246.9,1,
-4759.1582,-679.8701,-679.8701,10.9,10.9,200.1364,200.1364,145,145,150,150,-3,-3,37,37,10.9,10.9,305.9,305.9,1,
-4472.6132,-246.7105,-246.7105,3.5001,3.5001,72.9457,72.9457,144.9998,144.9998,159.9999,159.9999,-3.0001,-3.0001,38,38,3.5001,3.5001,306.1,306.1,1,
-3668.5329,-326.1682,-326.1682,,,76.9109,76.9109,210,210,197.4997,197.4997,-3,-3,39,39,0,0,354.4,354.4,1,
-3617.0525,-551.0526,-551.0526,-2,-2,121.9842,121.9842,80,80,230,230,-3,-3,40,40,-2,-2,238.8,238.8,1,
-2609.5069,-52.6339,-52.6339,-100,-100,14.9138,14.9138,95,95,87,87,-3,-3,41,41,-100,-100,102,102,1,
-1517.2252,-82.6708,-82.6708,-36.7,-36.7,32.9242,32.9242,240,240,,,,,42,42,0.8,0.8,186.2,186.2,1,
-1076.157,-130.7446,-130.7446,-69.5,-69.5,43.7125,43.7125,309.9999,309.9999,,,,,43,43,-5.1001,-5.1001,143.7,143.7,1,
0,,,,,-160.4,-160.4,,,,,,,44,44,-666,-666,0,0,1,
-4214.6379,-123.2,-123.2,-25.6,-25.6,37.125,37.125,196,196,113,113,-3,-3,45,45,-0.6,-0.6,158.5,158.5,1,
-3460.9003,-79.6652,-79.6652,-43.6,-43.6,17.6908,17.6908,161,161,100,100,-3.0001,-3.0001,46,46,0,0,143.4,143.4,1,
-3255.4185,-18.3881,-18.3881,-9.8,-9.8,4.2473,4.2473,69,69,41.1,41.1,-3,-3,47,47,-9.8,-9.8,103.4,103.4,1,
-3127.2879,-123.2,-123.2,11.2,11.2,36.2585,36.2585,99,99,175,175,-3,-3,48,48,25,25,285.2,285.2,1,
-4289.1885,-98.56,-98.56,,,15.7478,15.7478,172,172,90,90,-3,-3,49,49,0,0,170,170,1,
-1112.7612,-82.6846,-82.6846,-2,-2,25.2067,25.2067,143.8,143.8,135,135,-3,-3,50,50,-2,-2,200.1,200.1,1,
-2246.8904,-109.8739,-109.8739,,,22.0452,22.0452,148.0001,148.0001,209.9999,209.9999,-2.9999,-2.9999,51,51,0,0,-61.6,-61.6,1,
-3976.1724,-323.6601,-323.6601,118,118,75.6595,75.6595,199,199,,,-3,-3,52,52,118,118,281.1,281.1,1,
-4291.9829,-122.4561,-122.4561,,,36.9195,36.9195,158,158,71,71,-3,-3,53,53,0,0,193.5,193.5,1,
-4078.2369,-92.9345,-92.9345,9.4999,9.4999,-11.264,-11.264,90,90,95,95,-3,-3,54,54,9.5001,9.5001,214.6,214.6,1,
-4469.9808,-245.7343,-245.7343,11.3,11.3,69.8819,69.8819,203.5999,203.5999,60,60,-3,-3,55,55,11.3,11.3,274.9,274.9,1,
-4431.8079,-211.6434,-211.6434,-15.3002,-15.3002,62.5284,62.5284,186.8999,186.8999,100,100,-3.0002,-3.0002,56,56,-15.3002,-15.3002,272.6,272.6,1,
-3856.5701,-150.5608,-150.5608,-136.8001,-136.8001,38.0731,38.0731,125,125,105,105,-3,-3,57,57,-136.8001,-136.8001,-38.1,-38.1,1,
-3948.3932,-148.7216,-148.7216,-6,-6,40.6628,40.6628,155,155,126,126,-3,-3,58,58,-6,-6,253.6,253.6,1,
-4423.8033,-121.7442,-121.7442,-3.7,-3.7,35.1674,35.1674,120,120,80,80,-3,-3,59,59,-3.7,-3.7,196.3,196.3,1,
-3903.361,-84.6211,-84.6211,-5.9,-5.9,21.7791,21.7791,175,175,74.5,74.5,-3,-3,60,60,-5.9,-5.9,151,151,1,
-3329.5133,-436.25,-436.25,16,16,132.7367,132.7367,182.2,182.2,91,91,-3,-3,61,61,16,16,289.2,289.2,1,
-3245.9564,-103.869,-103.869,-12.5,-12.5,6.2601,6.2601,94,94,121.5,121.5,-3,-3,62,62,-12.5,-12.5,245.5,245.5,1,
-3978.3463,-284.0206,-284.0206,-10.5,-10.5,92.1426,92.1426,193.8001,193.8001,150,150,-3,-3,63,63,-10.5,-10.5,302.3,302.3,1,
-4260.0519,-222.766,-222.766,-3.7,-3.7,65.614,65.614,213,213,98,98,-3,-3,64,64,-3.7,-3.7,267.3,267.3,1,
-4561.3908,-86.102,-86.102,33.2,33.2,15.7097,15.7097,100,100,66,66,-3,-3,65,65,33.2,33.2,279.4,279.4,1,
-4770.2215,-89.6404,-89.6404,-4.4,-4.4,26.1661,26.1661,119,119,100,100,-3,-3,66,66,-4.4,-4.4,114.6,114.6,1,
-4048.7542,-197.5472,-197.5472,76.1,76.1,32.1042,32.1042,110,110,78,78,-3,-3,67,67,76.1,76.1,275,275,1,
-3952.5938,-200.5747,-200.5747,6.2,6.2,58.4092,58.4092,169,169,100,100,-3,-3,68,68,6.2,6.2,275.2,275.2,1,
-3852.6965,-131.5231,-131.5231,-0.4,-0.4,29.5371,29.5371,277,277,150,150,-2.9999,-2.9999,69,69,-0.4,-0.4,426.6,426.6,1,
-4001.6773,-145.3187,-145.3187,7.6,7.6,22.6453,22.6453,93.1001,93.1001,192.8999,192.8999,-3.0001,-3.0001,70,70,7.6,7.6,299,299,1,
-4211.0486,-194.9292,-194.9292,-43.9002,-43.9002,46.3251,46.3251,199,199,96,96,-3,-3,71,71,-43.9002,-43.9002,251.1,251.1,1,
-3767.4948,-35.3767,-35.3767,-18.8,-18.8,5.9448,5.9448,104.5,104.5,92.7,92.7,-3,-3,72,72,-18.8,-18.8,178.4,178.4,1,
-3909.2131,-167.0259,-167.0259,,,39.0209,39.0209,233,233,78,78,-3,-3,73,73,0,0,-339.5,-339.5,1,
-502.1711,-295.7576,-295.7576,-6.0997,-6.0997,87.1596,87.1596,125.0007,125.0007,100,100,-3.0007,-3.0007,74,74,-6.0997,-6.0997,150,150,1,
-961.975,-95.1568,-95.1568,-4.1001,-4.1001,42.9116,42.9116,110.0001,110.0001,150.0002,150.0002,-2.9999,-2.9999,75,75,-4.1001,-4.1001,150,150,1,
-930.146,-44.14,-44.14,98.3,98.3,27.3465,27.3465,0,0,,,-5,-5,76,76,98.3,98.3,0,0,1,
0,-38.1887,-38.1887,-80.2,-80.2,18.5381,18.5381,350,350,,,-5,-5,77,77,-3.7,-3.7,236,236,1,
0,-62.0098,-62.0098,-100,-100,46.5705,46.5705,395,395,,,-5,-5,78,78,0,0,184.8,184.8,1,
-797.9221,-152.6925,-152.6925,0.1003,0.1003,79.6838,79.6838,200,200,,,-5.0002,-5.0002,79,79,0.1003,0.1003,200,200,1,
0,-126.5633,-126.5633,7.2999,7.2999,110.424,110.424,360,360,,,-5,-5,80,80,7.2999,7.2999,364.2,364.2,1,
-325.4048,-43.0638,-43.0638,-2.1,-2.1,30.1472,30.1472,312,312,,,-5,-5,81,81,0,0,211.3,211.3,1,
-435.6076,-184,-184,-42.9,-42.9,160.4845,160.4845,322.5,322.5,,,-5,-5,82,82,0,0,279.6,279.6,1,
-4681.4725,-127.182,-127.182,-12.3001,-12.3001,35.7293,35.7293,160,160,88,88,-2.9999,-2.9999,83,83,-12.3001,-12.3001,236.3,236.3,1,
-4755.8818,-174.5,-174.5,-7.5,-7.5,46.6487,46.6487,148,148,30,30,-3,-3,84,84,-7.5,-7.5,152.2,152.2,1,
-4315.9384,-79.9237,-79.9237,-54.3,-54.3,18.6754,18.6754,107.5,107.5,84,84,-3,-3,85,85,-54.3,-54.3,75.2,75.2,1,
-4103.9565,-72.3182,-72.3182,15.7,15.7,17.6863,17.6863,138,138,58,58,-3.0001,-3.0001,86,86,15.7,15.7,198.7,198.7,1,
-4430.9083,-64.9101,-64.9101,-2.4,-2.4,17.6563,17.6563,93.5001,93.5001,100,100,-3,-3,87,87,-2.4,-2.4,191.1,191.1,1,
-3901.509,-74.3608,-74.3608,-0.9,-0.9,18.3242,18.3242,100.5,100.5,79.5,79.5,-3,-3,88,88,-0.9,-0.9,179.2,179.2,1,
-3778.7426,-101.9673,-101.9673,14.5999,14.5999,14.9961,14.9961,94,94,158.4001,158.4001,-3,-3,89,89,14.5999,14.5999,266,266,1,
-4497.4234,-441.7722,-441.7722,-19.6,-19.6,89.0456,89.0456,198,198,78,78,-3,-3,90,90,-19.6,-19.6,242,242,1,
-4502.7172,-634.9303,-634.9303,-17.3996,-17.3996,284.7762,284.7762,152.6998,152.6998,120,120,-3.0006,-3.0006,91,91,-17.3996,-17.3996,273.8,273.8,1,
-4628.5954,-66.7943,-66.7943,-1.1,-1.1,16.5489,16.5489,87.5,87.5,68.9,68.9,-3.0001,-3.0001,92,92,-1.1,-1.1,41.6,41.6,1,
-4492.1123,-671.1538,-671.1538,-37.3,-37.3,193.218,193.218,193,193,100,100,-3,-3,93,93,-37.3,-37.3,43.4,43.4,1,
-3727.6528,-105.3458,-105.3458,-0.7001,-0.7001,-9.6222,-9.6222,140,140,60,60,-3,-3,94,94,-0.7001,-0.7001,221.5,221.5,1,
-4719.6787,-111.859,-111.859,0.9,0.9,26.0113,26.0113,143,143,108,108,-3,-3,95,95,0.9,0.9,251.9,251.9,1,
-4519.1409,-209.2326,-209.2326,2.0999,2.0999,58.0328,58.0328,171,171,84,84,-3,-3,96,96,2.0999,2.0999,257.1,257.1,1,
-4087.1268,-130.0385,-130.0385,-7.8999,-7.8999,16.1812,16.1812,226.5,226.5,76.9999,76.9999,-3,-3,97,97,-7.8999,-7.8999,295.6,295.6,1,
-3785.2449,-242.3611,-242.3611,60.9,60.9,60.2319,60.2319,80.3,80.3,238.9,238.9,-3,-3,98,98,60.9,60.9,-196.1,-196.1,1,
-3759.9979,-197.5397,-197.5397,25.1002,25.1002,23.4637,23.4637,271.4999,271.4999,165.0002,165.0002,-2.9999,-2.9999,99,99,25.1002,25.1002,249,249,1,
-3743.888,-94.837,-94.837,-9,-9,27.8906,27.8906,114,114,65,65,-3,-3,100,100,-9,-9,104.5,104.5,1,
-3027.1233,-26.2004,-26.2004,0.1,0.1,4.389,4.389,107.1,107.1,52.5,52.5,-3,-3,101,101,0.1,0.1,187.5,187.5,1,
-4481.8797,-209.4,-209.4,-2,-2,38.9232,38.9232,197,197,91,91,-3,-3,102,102,-2,-2,286,286,1,
-4045.6236,-138.9564,-138.9564,-6.8,-6.8,36.8217,36.8217,246.5001,246.5001,84,84,-3,-3,103,103,-6.8,-6.8,327.1,327.1,1,
-2894.7603,-151.0823,-151.0823,11.4,11.4,31.9758,31.9758,173,173,120,120,-3,-3,104,104,11.4,11.4,282.4,282.4,1,
-3891.2051,-91.5146,-91.5146,0.8999,0.8999,-19.452,-19.452,159.5,159.5,150,150,-3,-3,105,105,0.8999,0.8999,57.8,57.8,1,
-4020.1874,-317.2727,-317.2727,-4.5,-4.5,83.7133,83.7133,193.7,193.7,130,130,-3,-3,106,106,-4.5,-4.5,309.2,309.2,1,
-3879.2788,-149.5714,-149.5714,-53,-53,-9.9551,-9.9551,224,224,133,133,-3,-3,107,107,-53,-53,184.1,184.1,1,
0,-195.3358,-195.3358,2,2,38.0448,38.0448,139,139,105,105,-3,-3,108,108,2,2,246,246,1,
0,,,,,,,,,,,,,109,109,,,,,1,
-4558.8093,-136.0494,-136.0494,,,43.0129,43.0129,195,195,84,84,-3,-3,110,110,0,0,107.1,107.1,1,
-3526.6703,-56.6743,-56.6743,-39.3,-39.3,9.7342,9.7342,71.5,71.5,120,120,-3,-3,111,111,-39.3,-39.3,152.2,152.2,1,
-3526.8956,-80.3077,-80.3077,-8.2999,-8.2999,18.0643,18.0643,177,177,85,85,-3,-3,112,112,-8.3001,-8.3001,166.6,166.6,1,
-4468.9048,-237.4773,-237.4773,,,69.1347,69.1347,213.0002,213.0002,78.0002,78.0002,-3.0002,-3.0002,113,113,0,0,202.3,202.3,1,
-4143.5154,-106.4163,-106.4163,-15.1,-15.1,-3.6476,-3.6476,226,226,66,66,-3,-3,114,114,-15.1,-15.1,276.9,276.9,1,
-4514.0584,-367.6056,-367.6056,9.6998,9.6998,146.4767,146.4767,268,268,80,80,-3,-3,115,115,9.6998,9.6998,354,354,1,
-4314.2145,-167.7321,-167.7321,-28.1999,-28.1999,53.4744,53.4744,223.0002,223.0002,106,106,-3.0002,-3.0002,116,116,-28.1999,-28.1999,309.6,309.6,1,
-3844.7952,-180.3745,-180.3745,35.8999,35.8999,40.6292,40.6292,327.0002,327.0002,110.0001,110.0001,-3.0001,-3.0001,117,117,35.8999,35.8999,457.9,457.9,1,
-3674.6179,-138.6547,-138.6547,64.3001,64.3001,29.7089,29.7089,257,257,23.9999,23.9999,-3.0001,-3.0001,118,118,64.3001,64.3001,298.8,298.8,1,
-4134.7916,-43.9628,-43.9628,-25.5,-25.5,13.4169,13.4169,48,48,72,72,-3,-3,119,119,-25.5,-25.5,-135.5,-135.5,1,
-3835.4437,-236.1429,-236.1429,43,43,73.8629,73.8629,203,203,24,24,-3,-3,120,120,43,43,227.6,227.6,1,
-3969.5408,-170.6323,-170.6323,2.2999,2.2999,49.3512,49.3512,212.9999,212.9999,24,24,-3.0001,-3.0001,121,121,2.2999,2.2999,220.4,220.4,1,
-4291.9711,-162.0588,-162.0588,-6.9,-6.9,47.1771,47.1771,173,173,24,24,-3,-3,122,122,-6.9,-6.9,190.1,190.1,1,
-4263.2051,-176.2887,-176.2887,-40.6001,-40.6001,56.9399,56.9399,188,188,24,24,-3,-3,123,123,-40.6001,-40.6001,21.4,21.4,1,
-4509.6844,-73.8771,-73.8771,14.4,14.4,11.7676,11.7676,180.1,180.1,52.1,52.1,-3.0001,-3.0001,124,124,14.4,14.4,246.6,246.6,1,
-3997.4983,-176.32,-176.32,-9.2,-9.2,54.9643,54.9643,153.0002,153.0002,100,100,-3.0002,-3.0002,125,125,-9.2,-9.2,127,127,1,
-3997.1375,-160.7664,-160.7664,1.1,1.1,48.5907,48.5907,188.0001,188.0001,23.9999,23.9999,-3.0001,-3.0001,126,126,1.1,1.1,213.1,213.1,1,
-4116.4936,-190.7308,-190.7308,-0.2,-0.2,57.2358,57.2358,209,209,66,66,-3,-3,127,127,-0.2,-0.2,274.8,274.8,1,
-3781.4261,-268.0541,-268.0541,-9.3,-9.3,63.993,63.993,269.5,269.5,77,77,-3,-3,128,128,-9.3,-9.3,278.7,278.7,1,
-4247.4687,-109.793,-109.793,17.8,17.8,25.6813,25.6813,220.0001,220.0001,110,110,-3,-3,129,129,17.8,17.8,347.8,347.8,1,
-3800.4479,-99.4302,-99.4302,2,2,29.0813,29.0813,156,156,62.6999,62.6999,-3,-3,130,130,2,2,220.7,220.7,1,
-4255.2249,-160.8814,-160.8814,,,-39.6672,-39.6672,227.0001,227.0001,120,120,-3,-3,131,131,0,0,329.5,329.5,1,
-3015.9268,-213.6735,-213.6735,-18.6,-18.6,-3.7824,-3.7824,156.5,156.5,90,90,-3,-3,132,132,-18.6,-18.6,227.9,227.9,1,
-3829.5891,-159.1514,-159.1514,-2.1001,-2.1001,-4.9627,-4.9627,130.0001,130.0001,90.0001,90.0001,-3,-3,133,133,-2.1001,-2.1001,225,225,1,
-4864.4559,-99.1477,-99.1477,12,12,23.5849,23.5849,121,121,72,72,-3,-3,134,134,12,12,165,165,1,
-4218.0189,-290.9546,-290.9546,,,70.8078,70.8078,191.4998,191.4998,70.0003,70.0003,-3.0001,-3.0001,135,135,0,0,-4.2,-4.2,1,
-3903.8694,-127.9795,-127.9795,2.2,2.2,35.4683,35.4683,160,160,84,84,-3.0001,-3.0001,136,136,2.2,2.2,247.4,247.4,1,
-4029.5853,-116.3333,-116.3333,,,27.6962,27.6962,151,151,120,120,-3,-3,137,137,0,0,246.6,246.6,1,
-3389.5427,-48.1379,-48.1379,4.3,4.3,7.447,7.447,50,50,55.2,55.2,-3,-3,138,138,4.3,4.3,109.5,109.5,1,
-3295.7532,-52.35,-52.35,-3.7,-3.7,6.5066,6.5066,64,64,130,130,-3,-3,139,139,-3.7,-3.7,53,53,1,
-3835.4043,-132.868,-132.868,1.3,1.3,39.683,39.683,140,140,77,77,-3,-3,140,140,1.3,1.3,231,231,1,
-3125.8595,-139.9733,-139.9733,-46.3,-46.3,39.8345,39.8345,155,155,80,80,-3,-3,141,141,-46.3,-46.3,194,194,1,
-3272.6153,-21.8271,-21.8271,-11.8,-11.8,3.8442,3.8442,59,59,37.5,37.5,-3,-3,142,142,-11.8,-11.8,84.7,84.7,1,
-4008.747,-112.5806,-112.5806,,,27.6295,27.6295,113,113,104,104,-3,-3,143,143,0,0,102,102,1,
-4841.1426,-81.7969,-81.7969,16.8,16.8,19.4859,19.4859,105.5,105.5,100,100,-3,-3,144,144,16.8,16.8,21.5,21.5,1,
-4231.4591,-140.1794,-140.1794,1.5001,1.5001,35.1541,35.1541,145.0001,145.0001,76.9999,76.9999,-3.0001,-3.0001,145,145,1.5001,1.5001,207.5,207.5,1,
0,,,,,-212.2462,-212.2462,,,,,-2.9978,-2.9978,146,146,-1441.8022,-1441.8022,0,0,1,
-4044.1325,-99.7143,-99.7143,8.4,8.4,29.8728,29.8728,117.8,117.8,135,135,-3,-3,147,147,8.4,8.4,161.2,161.2,1,
-4160.1506,-119.9313,-119.9313,-17.7001,-17.7001,26.8687,26.8687,132.8,132.8,180,180,-3,-3,148,148,-17.7001,-17.7001,219,219,1,
-3786.7122,-174.0938,-174.0938,-14.3,-14.3,41.3266,41.3266,135,135,185,185,-3,-3,149,149,-14.3,-14.3,208,208,1,
-2998.9868,-29.9143,-29.9143,38.3,38.3,-4.6146,-4.6146,99.1,99.1,102.8,102.8,-3,-3,150,150,38.3,38.3,240.2,240.2,1,
-2930.8144,-134.9564,-134.9564,,,23.9898,23.9898,150.0001,150.0001,209.9999,209.9999,-3,-3,151,151,0,0,314.9,314.9,1,
-3792.5373,-116.92,-116.92,-0.8,-0.8,33.1727,33.1727,130.0001,130.0001,235.0001,235.0001,-2.9999,-2.9999,152,152,-0.8,-0.8,237.2,237.2,1,
-3763.6602,-97.8505,-97.8505,-10,-10,23.1204,23.1204,112.8,112.8,200,200,-3,-3,153,153,-10,-10,209.8,209.8,1,
-3301.0269,-315.4793,-315.4793,59.3999,59.3999,4.3565,4.3565,170.0002,170.0002,250,250,-2.9999,-2.9999,154,154,59.3999,59.3999,488.4,488.4,1,
-3960.1414,-136.3992,-136.3992,150,150,21.2324,21.2324,100,100,100,100,-3,-3,155,155,150,150,250,250,1,
-3335.4419,-349,-349,6.9,6.9,84.73,84.73,155,155,215,215,-3,-3,156,156,6.9,6.9,377.5,377.5,1,
-1206.3881,-206.5578,-206.5578,-39.0002,-39.0002,60.1693,60.1693,147.7999,147.7999,135,135,-2.9999,-2.9999,157,157,-39.0002,-39.0002,128.9,128.9,1,
-3877.0698,-523.5,-523.5,,,113.223,113.223,127.4,127.4,235,235,-3,-3,158,158,0,0,224.6,224.6,1,
-3741.3756,-137.3947,-137.3947,-12.4999,-12.4999,-2.4946,-2.4946,100,100,245.0001,245.0001,-3.0001,-3.0001,159,159,-12.4999,-12.4999,246.7,246.7,1,
-3714.6738,-823.9553,-823.9553,-3.9994,-3.9994,207.248,207.248,154.9996,154.9996,250.0008,250.0008,-2.9999,-2.9999,160,160,-3.9994,-3.9994,403.8,403.8,1,
-3644.5326,-355.4382,-355.4382,-73.2997,-73.2997,29.0713,29.0713,169.9999,169.9999,250.0003,250.0003,-2.9997,-2.9997,161,161,-73.2997,-73.2997,237,237,1,
-3643.4931,-523.5,-523.5,,,145.845,145.845,150,150,210,210,-3,-3,162,162,0,0,235.7,235.7,1,
-3763.0423,-163.125,-163.125,,,53.0776,53.0776,158,158,80,80,-3,-3,163,163,0,0,231.6,231.6,1,
-4006.0526,-125.4674,-125.4674,27.1,27.1,29.2139,29.2139,133,133,108,108,-3,-3,164,164,27.1,27.1,138.1,138.1,1,
-3537.6719,-436.2536,-436.2536,5.7,5.7,128.0894,128.0894,187.9999,187.9999,126.0002,126.0002,-3,-3,165,165,5.7,5.7,319.7,319.7,1,
-3854.0644,-107.0224,-107.0224,,,-2.1114,-2.1114,209.0001,209.0001,125.0001,125.0001,-3.0001,-3.0001,166,166,0,0,224.9,224.9,1,
-3672.6,-164.9858,-164.9858,17.7999,17.7999,45.7605,45.7605,168,168,108,108,-3,-3,167,167,17.7999,17.7999,293.8,293.8,1,
-4154.91,-117.313,-117.313,2.3001,2.3001,34.2126,34.2126,138,138,100.8,100.8,-2.9999,-2.9999,168,168,2.3001,2.3001,115.5,115.5,1,
-4326.843,-119.9313,-119.9313,-35.8999,-35.8999,28.8005,28.8005,155,155,100,100,-3,-3,169,169,-35.9001,-35.9001,219.2,219.2,1,
-3931.5378,-170.5212,-170.5212,-13.6,-13.6,-4.9247,-4.9247,227,227,90,90,-3,-3,170,170,-13.6,-13.6,303.7,303.7,1,
-3758.7948,-118.7075,-118.7075,9.1,9.1,33.6073,33.6073,158,158,78,78,-3,-3,171,171,9.1,9.1,245.1,245.1,1,
-3852.7565,-37.3929,-37.3929,-15.1,-15.1,6.3103,6.3103,69.1,69.1,67.8,67.8,-3,-3,172,172,-15.1,-15.1,78.4,78.4,1,
-3803.2092,-373.9286,-373.9286,4.7,4.7,96.6386,96.6386,173.7,173.7,90,90,-3,-3,173,173,4.7,4.7,246.7,246.7,1,
-4202.4177,-343.9734,-343.9734,-32.1002,-32.1002,89.3536,89.3536,250.0999,250.0999,154.0002,154.0002,-3.0002,-3.0002,174,174,-32.1002,-32.1002,359.9,359.9,1,
-3775.0265,-242.3611,-242.3611,-7.8,-7.8,51.4093,51.4093,136.5,136.5,228.9,228.9,-3,-3,175,175,-7.8,-7.8,357.6,357.6,1,
