active_non_producing_sales_hc,active_sales_hc,company_id,department_id,funded_units_by_vp,funded_units_in_cost_center,funded_volume_by_vp,funded_volume_in_cost_center,payroll_reg_earnings_bom_amt,rent_bom_amt,reporting_period_id,vp_id,workforce_snapshot_id
1,2,2,2,6,6,1225394,1225394,,250,1,22,52
0,2,3,7,10,22,15977500,27403820,,-1463.33,1,23,53
0,2,3,4,10,22,15977500,27403820,,-1463.33,1,23,54
0,2,3,8,12,22,11426320,27403820,,-1463.33,1,24,55
0,2,3,2,12,22,11426320,27403820,,-1463.33,1,24,56
1,3,3,1,4,6,4050500,5256500,,1500,1,25,57
16,26,4,1,2,49,1423500,20431420,,,1,26,58
16,26,4,2,2,49,1423500,20431420,,,1,26,59
0,3,4,2,4,9,2537000,4107300,,2291.67,1,27,60
0,3,4,3,4,9,2537000,4107300,,2291.67,1,27,61
0,3,4,5,4,9,2537000,4107300,,2291.67,1,27,62
0,3,4,4,4,9,2537000,4107300,,2291.67,1,27,63
0,1,1,3,2,2,801950,801950,,234.42,1,28,64
1,3,1,5,8,10,3538200,4770700,,917.42,1,29,65
1,3,1,4,8,10,3538200,4770700,,917.42,1,29,66
0,1,1,10,5,5,2787484,2787484,,4548.9,1,30,67
0,1,1,3,5,5,2787484,2787484,,4548.9,1,30,68
0,1,1,3,2,2,1091654,1091654,,107.25,1,31,69
2,3,1,4,3,3,1437400,1437400,,340.82,1,32,70
2,3,1,2,3,3,1437400,1437400,,340.82,1,32,71
2,3,1,8,3,3,1437400,1437400,,340.82,1,32,72
0,1,1,6,3,3,1245425,1245425,,2072.16,1,33,73
0,1,1,2,3,3,1245425,1245425,,2072.16,1,33,74
0,1,1,2,18,18,8274503,8274503,,530,1,34,75
1,3,2,9,3,6,633558,1047352,,2946,1,35,76
1,3,2,2,3,6,633558,1047352,,2946,1,35,77
0,0,2,11,1,5,427500,1174988,,3730,1,36,78
0,2,2,12,7,12,1119711,2244336,,1918.81,1,37,79
0,2,2,11,7,12,1119711,2244336,,1918.81,1,37,80
0,2,2,3,7,12,1119711,2244336,,1918.81,1,37,81
1,5,2,9,1,7,212192,1986342,,1228.48,1,38,82
1,5,2,13,1,7,212192,1986342,,1228.48,1,38,83
2,4,2,3,2,3,433300,483300,,2792.1,1,39,84
2,4,2,5,2,3,433300,483300,,2792.1,1,39,85
8,15,2,9,4,33,1259860,12036790,,2245.42,1,40,86
8,15,2,5,4,33,1259860,12036790,,2245.42,1,40,87
8,15,2,12,4,33,1259860,12036790,,2245.42,1,40,88
8,15,2,2,4,33,1259860,12036790,,2245.42,1,40,89
8,15,2,1,4,33,1259860,12036790,,2245.42,1,40,90
5,8,2,3,4,6,2325140,3162715,,5868.7,1,41,91
5,8,2,2,4,6,2325140,3162715,,5868.7,1,41,92
5,8,2,8,4,6,2325140,3162715,,5868.7,1,41,93
2,5,2,2,11,17,1917324,3190034,,4043.56,1,42,94
2,5,2,7,11,17,1917324,3190034,,4043.56,1,42,95
2,5,2,1,11,17,1917324,3190034,,4043.56,1,42,96
2,5,2,4,11,17,1917324,3190034,,4043.56,1,42,97
4,6,2,7,10,11,2436075,2666030,,,1,43,98
4,6,2,5,10,11,2436075,2666030,,,1,43,99
4,6,2,2,10,11,2436075,2666030,,,1,43,100
15,27,3,2,9,36,4720600,22307073,,24693.57,1,44,101
15,27,3,1,3,36,2542034,22307073,,24693.57,1,45,102
17,29,3,2,2,27,3080000,20174847,,18793.19,1,46,103
17,29,3,1,2,27,3080000,20174847,,18793.19,1,46,104
17,29,3,7,2,27,3080000,20174847,,18793.19,1,46,105
17,29,3,3,2,27,3080000,20174847,,18793.19,1,46,106
17,29,3,14,4,27,2531635,20174847,,18793.19,1,47,107
17,29,3,3,4,27,2531635,20174847,,18793.19,1,47,108
17,29,3,4,4,27,2531635,20174847,,18793.19,1,47,109
17,29,3,2,4,27,2531635,20174847,,18793.19,1,47,110
17,29,3,1,4,27,2531635,20174847,,18793.19,1,47,111
0,1,3,4,6,6,2768763,2768763,,500,1,48,112
0,1,3,3,6,6,2768763,2768763,,500,1,48,113
0,1,3,2,6,6,2768763,2768763,,500,1,48,114
16,26,4,2,11,49,4241495,20431420,,,1,49,115
16,26,4,4,11,49,4241495,20431420,,,1,49,116
8,17,2,2,1,24,427500,12464281,,1350.17,1,50,117
8,17,2,15,1,24,427500,12464281,,1350.17,1,50,118
8,17,2,3,1,24,427500,12464281,,1350.17,1,50,119
5,7,2,12,16,18,7681942,8174634,,2327.23,1,51,120
5,7,2,11,16,18,7681942,8174634,,2327.23,1,51,121
5,7,2,2,16,18,7681942,8174634,,2327.23,1,51,122
5,7,2,16,16,18,7681942,8174634,,2327.23,1,51,123
3,7,2,3,3,11,1090535,4693551,,3389.02,1,52,124
7,19,2,2,4,26,697145,10219421,,7448.8,1,53,125
7,19,2,11,4,26,697145,10219421,,7448.8,1,53,126
16,19,2,2,70,80,43325894,50011244,,9504.82,1,54,127
16,19,2,1,70,80,43325894,50011244,,9504.82,1,54,128
16,19,2,5,70,80,43325894,50011244,,9504.82,1,54,129
16,19,2,7,70,80,43325894,50011244,,9504.82,1,54,130
5,6,2,2,19,19,8640266,8640266,,10139.19,1,55,131
5,6,2,11,19,19,8640266,8640266,,10139.19,1,55,132
5,6,2,1,19,19,8640266,8640266,,10139.19,1,55,133
1,4,2,3,3,11,1493050,5609264,,1000,1,56,134
1,4,2,1,3,11,1493050,5609264,,1000,1,56,135
2,6,2,2,1,11,618640,6393471,,5740.14,1,57,136
2,6,2,1,1,11,618640,6393471,,5740.14,1,57,137
2,6,2,4,1,11,618640,6393471,,5740.14,1,57,138
2,5,2,2,7,17,2381707,4703703,,7093.9,1,58,139
2,5,2,8,7,17,2381707,4703703,,7093.9,1,58,140
2,5,2,4,7,17,2381707,4703703,,7093.9,1,58,141
9,16,2,2,19,51,11849494,29035667,,30925.6,1,59,142
0,2,1,3,8,12,2823100,3892550,,500,1,60,143
0,2,1,2,8,12,2823100,3892550,,500,1,60,144
20,31,2,2,12,97,4859577,24831632.51,,17191.12,1,61,145
20,31,2,1,12,97,4859577,24831632.51,,17191.12,1,61,146
7,11,2,13,8,30,2815240,14570030,,6255.77,1,62,147
2,7,2,3,7,14,4580460,9506960,,8000,1,63,148
2,7,2,11,7,14,4580460,9506960,,8000,1,63,149
34,63,2,2,6,162,967270,67445552,,31322.95,1,64,150
34,63,2,1,6,162,967270,67445552,,31322.95,1,64,151
6,8,2,2,5,18,1852800,8128174,,2523.39,1,65,152
6,8,2,11,5,18,1852800,8128174,,2523.39,1,65,153
0,1,1,3,2,2,577044,577044,,345.17,1,66,154
0,1,1,11,2,2,577044,577044,,345.17,1,66,155
3,5,1,2,4,5,754950,1022950,,3038.14,1,67,156
3,8,1,4,2,17,488089,4581360,,1245,1,68,157
3,8,1,1,2,17,488089,4581360,,1245,1,68,158
2,4,1,8,1,2,1401771,1949664,,766.43,1,69,159
2,4,1,1,1,2,1401771,1949664,,766.43,1,69,160
1,2,1,5,2,3,1136900,1601900,,244.31,1,70,161
1,2,1,6,2,3,1136900,1601900,,244.31,1,70,162
2,5,2,5,7,11,565992,1762123,,1583.33,1,71,163
1,3,2,15,6,8,1471662,1847066,,1700,1,72,164
1,3,2,2,6,8,1471662,1847066,,1700,1,72,165
1,3,2,1,6,8,1471662,1847066,,1700,1,72,166
2,3,2,5,18,18,5346157,5346157,,3325.87,1,73,167
2,3,2,4,18,18,5346157,5346157,,3325.87,1,73,168
2,3,2,7,18,18,5346157,5346157,,3325.87,1,73,169
0,1,2,2,2,2,2836250,2836250,,842.51,1,74,170
3,7,2,9,1,7,326400,2936417,,5595.79,1,75,171
11,17,2,5,5,17,1047829,6652915,,35096.88,1,76,172
6,8,2,7,2,3,605520,1080520,,6226.15,1,77,173
2,4,2,2,6,7,1765334,1917526,,420,1,78,174
2,4,2,1,6,7,1765334,1917526,,420,1,78,175
5,8,2,12,3,5,660000,1442500,,,1,79,176
6,14,2,2,6,33,1711915,10073187,,3118.46,1,80,177
6,14,2,11,6,33,1711915,10073187,,3118.46,1,80,178
9,16,2,16,19,51,11849494,29035667,,30925.6,1,59,179
9,16,2,3,19,51,11849494,29035667,,30925.6,1,59,180
2,7,2,2,7,18,3965600,9433525,,10266.21,1,81,181
2,7,2,3,7,18,3965600,9433525,,10266.21,1,81,182
20,31,2,9,7,97,2634959,24831632.51,,17191.12,1,82,183
20,31,2,2,7,97,2634959,24831632.51,,17191.12,1,82,184
20,31,2,1,7,97,2634959,24831632.51,,17191.12,1,82,185
2,6,2,2,8,14,4889693,7091334,,4740.98,1,32,186
2,6,2,1,8,14,4889693,7091334,,4740.98,1,32,187
34,63,2,5,4,162,1813265,67445552,,31322.95,1,83,188
34,63,2,9,4,162,1813265,67445552,,31322.95,1,83,189
34,63,2,2,4,162,1813265,67445552,,31322.95,1,83,190
34,63,2,4,4,162,1813265,67445552,,31322.95,1,83,191
2,6,2,5,8,14,4889693,7091334,,4740.98,1,32,192
2,6,2,8,8,14,4889693,7091334,,4740.98,1,32,193
2,6,2,9,7,15,3178950,6956882,,2143,1,84,194
2,6,2,11,7,15,3178950,6956882,,2143,1,84,195
2,6,2,1,7,15,3178950,6956882,,2143,1,84,196
13,19,2,1,9,50,3548227,15125609,,6087.5,1,81,197
13,19,2,11,9,50,3548227,15125609,,6087.5,1,81,198
34,63,2,1,11,162,4412219,67445552,,31322.95,1,85,199
34,63,2,9,11,162,4412219,67445552,,31322.95,1,85,200
34,63,2,2,11,162,4412219,67445552,,31322.95,1,85,201
34,63,2,8,11,162,4412219,67445552,,31322.95,1,85,202
2,8,2,5,3,11,340989,1521859,,2000,1,86,203
2,8,2,13,3,11,340989,1521859,,2000,1,86,204
5,8,2,2,10,21,3924135,7070806,,500,1,87,205
5,8,2,14,10,21,3924135,7070806,,500,1,87,206
2,4,2,11,4,5,1134500,1688500,,785,1,88,207
13,21,2,1,5,23,2674175,13028569,,-3427.9,1,89,208
13,21,2,14,5,23,2674175,13028569,,-3427.9,1,89,209
13,21,2,13,5,23,2674175,13028569,,-3427.9,1,89,210
7,11,2,9,16,30,8853478,14570030,,6255.77,1,90,211
7,11,2,2,16,30,8853478,14570030,,6255.77,1,90,212
7,11,2,7,16,30,8853478,14570030,,6255.77,1,90,213
7,13,2,8,10,29,1498245,9738808,,9950.46,1,34,214
7,13,2,3,10,29,1498245,9738808,,9950.46,1,34,215
7,13,2,4,10,29,1498245,9738808,,9950.46,1,34,216
7,13,2,2,10,29,1498245,9738808,,9950.46,1,34,217
6,14,2,1,5,33,1450864,10073187,,3118.46,1,22,218
6,10,2,2,2,27,945750,16635708,,6144.35,1,91,219
6,10,2,10,2,27,945750,16635708,,6144.35,1,91,220
4,6,2,9,2,3,2461309,2631709,,8922.96,1,92,221
4,6,2,2,2,3,2461309,2631709,,8922.96,1,92,222
4,6,2,8,2,3,2461309,2631709,,8922.96,1,92,223
4,6,2,1,2,3,2461309,2631709,,8922.96,1,92,224
9,17,2,2,13,38,4131390,10265552,,13891.21,1,93,225
9,17,2,9,13,38,4131390,10265552,,13891.21,1,93,226
9,17,2,1,13,38,4131390,10265552,,13891.21,1,93,227
2,7,2,4,8,23,2227161,6055370,,8480.05,1,94,228
6,9,2,8,1,19,346500,9208393.04,,3458,1,95,229
6,9,2,1,1,19,346500,9208393.04,,3458,1,95,230
6,9,2,2,1,19,346500,9208393.04,,3458,1,95,231
2,3,2,12,4,4,2058522,2058522,,3500,1,96,232
2,3,2,9,4,4,2058522,2058522,,3500,1,96,233
2,3,2,2,4,4,2058522,2058522,,3500,1,96,234
0,1,2,1,5,5,1483970,1483970,,500,1,97,235
2,3,2,8,19,21,4443861,4877861,,2900,1,98,236
2,3,2,2,19,21,4443861,4877861,,2900,1,98,237
15,19,2,2,61,80,38156275,47935755,,6850,1,99,238
1,2,1,2,0,2,,1312774,,,1,100,239
1,1,1,2,0,0,,,,169.86,1,101,240
1,1,1,2,0,0,,,,,1,102,241
3,3,1,16,0,0,,,,,1,103,242
1,4,1,2,0,20,,9760564,,3367.14,1,104,243
5,8,1,2,0,4,,3261775,,,1,105,244
2,3,1,2,0,1,,317500,,104.68,1,106,245
6,6,1,2,0,0,,,,,1,107,246
1,1,1,2,0,0,,,,,1,108,247
2,4,1,2,0,2,,1949664,,766.43,1,109,248
1,1,1,2,0,0,,,,90.96,1,110,249
1,3,1,2,0,4,,1536772,,,1,111,250
5,8,1,2,0,4,,3261775,,,1,112,251
1,1,1,2,0,0,,,,879.42,1,113,252
1,2,1,2,0,9,765073,2677724,,,1,114,253
1,1,1,2,0,0,,,,661.89,1,115,254
6,6,1,2,0,0,,,,,1,116,255
2,3,1,2,0,3,,577268,,268.38,1,117,256
1,1,1,2,0,0,2677724,2677724,,,1,118,257
1,1,1,2,0,0,,,,,1,119,258
3,5,1,2,0,5,,1022950,,3038.14,1,120,259
3,5,2,2,0,6,,1748023,,1875,1,121,260
2,4,2,2,0,7,,2647559,,2000,1,122,261
3,4,2,2,0,3,,1603450,,2215.44,1,123,262
5,10,2,2,0,17,,4532971,,3618.84,1,124,263
4,7,2,2,0,19,,4925187,,3000,1,125,264
1,5,2,2,0,4,,1907211.37,,2015.74,1,126,265
5,6,2,2,0,1,,689512,,2667,1,127,266
5,6,2,2,0,1,,689512,,2667,1,128,267
8,17,2,2,0,47,,16915354.25,,,1,129,268
5,18,2,2,0,25,,9690271,,500,1,130,269
3,18,2,2,0,49,2550000,18329432,,1000,1,131,270
8,17,2,2,0,47,,16915354.25,,,1,132,271
3,5,2,2,0,6,,1856875,,1800,1,133,272
1,3,2,2,0,8,,2604562,,5154.68,1,134,273
7,11,2,2,0,11,1262672,3766290,,750,1,135,274
1,2,2,1,0,1,,291830,,500,1,136,275
9,19,2,2,0,23,,6663491,,6932.46,1,137,276
6,9,2,2,0,5,,4158197,,3356.82,1,138,277
2,4,2,2,0,3,,483300,,2792.1,1,139,278
1,3,2,2,0,6,,1047352,,2946,1,140,279
3,4,2,2,0,2,,1266900,,2100,1,141,280
5,8,2,2,0,6,,3162715,,5868.7,1,142,281
5,7,2,2,0,7,,1330798,,3219.98,1,143,282
4,5,2,2,0,2,808000,1380800,,1604.25,1,144,283
4,5,2,2,0,2,3577795,1380800,,1604.25,1,145,284
3,4,2,2,0,1,,256000,,206.4,1,146,285
5,9,2,2,0,8,,2839649,,1530,1,147,286
8,15,2,2,0,33,,12036790,,2245.42,1,148,287
5,8,2,2,0,7,,1889147,,1095,1,149,288
8,15,2,2,0,33,,12036790,,2245.42,1,150,289
4,6,2,2,0,14,4957903,4166806,,4220.16,1,151,290
1,2,2,2,0,1,432250,870000,,500,1,152,291
1,1,2,2,0,0,565992,1762123,,1583.33,1,71,292
6,8,2,2,0,2,,384200,,500,1,153,293
5,8,2,2,0,7,,1889147,,1095,1,154,294
9,19,2,2,0,23,,6663491,,6932.46,1,155,295
4,6,2,2,0,3,,2771061,,,1,156,296
5,7,2,1,0,2,,470437,,500,1,157,297
2,3,2,9,0,2,,335000,,1000,1,158,298
4,4,2,2,0,0,,,,11544.99,1,159,299
2,2,2,2,0,1,,380000,,500,1,160,300
1,1,2,2,0,0,56000,1900598,,6121.78,1,161,301
4,7,2,2,0,4,,3733416,,3500,1,162,302
1,1,2,2,0,0,,,,,1,29,303
3,4,2,17,0,1,,306000,,,1,163,304
21,32,2,2,0,23,,8833757,,,1,164,305
21,32,2,2,0,23,,8833757,,,1,165,306
21,32,2,2,0,23,,8833757,,,1,166,307
17,24,3,2,0,26,,9948686,,19020.71,1,167,308
15,27,3,2,0,36,,22307073,,24693.57,1,168,309
17,29,3,2,0,27,,20174847,,18793.19,1,169,310
0,1,1,11,2,2,1684500,1684500,,1548.79,1,170,311
4,11,1,2,5,25,3174500,13653322,,861.12,1,171,312
4,11,1,6,5,25,3174500,13653322,,861.12,1,171,313
0,1,1,4,4,4,1892227,1892227,,406.67,1,172,314
0,1,1,2,4,4,1892227,1892227,,406.67,1,172,315
1,3,1,3,5,11,1387506,4287216,,417.58,1,173,316
1,3,1,2,5,11,1387506,4287216,,417.58,1,173,317
1,3,1,1,6,11,2899710,4287216,,417.58,1,174,318
5,8,1,3,5,9,1138452,2098952,,318.62,1,143,319
5,8,1,2,5,9,1138452,2098952,,318.62,1,143,320
1,2,1,3,6,6,2389403,2389403,,,1,9,321
0,1,1,10,1,1,274928,274928,,161.37,1,175,322
0,1,1,3,1,1,274928,274928,,161.37,1,175,323
0,1,1,4,18,18,8274503,8274503,,530,1,34,324
0,1,1,3,18,18,8274503,8274503,,530,1,34,325
0,2,1,3,2,4,1821500,7681500,,1124.63,1,176,326
0,2,1,11,2,4,1821500,7681500,,1124.63,1,176,327
0,2,1,2,2,4,1821500,7681500,,1124.63,1,176,328
0,2,1,9,2,4,1821500,7681500,,1124.63,1,176,329
0,1,1,6,18,18,8274503,8274503,,530,1,34,330
2,6,1,18,20,39,7486371,15863938,,,1,10,331
2,6,1,11,20,39,7486371,15863938,,,1,10,332
0,1,1,16,18,18,8274503,8274503,,530,1,34,333
0,1,1,11,18,18,8274503,8274503,,530,1,34,334
0,1,1,1,18,18,8274503,8274503,,530,1,34,335
0,1,1,11,9,9,2770777,2770777,,,1,47,336
0,1,1,1,9,9,2770777,2770777,,,1,47,337
1,3,1,9,6,7,1709100,1905477,,3084.71,1,177,338
1,3,1,11,6,7,1709100,1905477,,3084.71,1,177,339
1,3,1,2,1,3,281250,964135,,,1,178,340
2,6,1,16,6,39,2738460,15863938,,,1,179,341
1,3,1,11,6,11,2899710,4287216,,417.58,1,174,342
0,1,1,2,10,10,4103176,4103176,,195.91,1,180,343
0,1,1,5,10,10,4103176,4103176,,195.91,1,180,344
0,1,1,3,10,10,4103176,4103176,,195.91,1,180,345
4,6,1,2,2,3,851668,1111668,,122.3,1,181,346
9,17,2,2,8,38,2183164,10265552,,13891.21,1,182,347
9,17,2,11,8,38,2183164,10265552,,13891.21,1,182,348
3,6,2,9,4,20,1237285,6177739,,2600,1,183,349
3,6,2,7,4,20,1237285,6177739,,2600,1,183,350
3,6,2,2,4,20,1237285,6177739,,2600,1,183,351
10,12,2,16,33,35,14621414,16094232,,7213.42,1,184,352
10,12,2,2,33,35,14621414,16094232,,7213.42,1,184,353
10,12,2,3,33,35,14621414,16094232,,7213.42,1,184,354
10,12,2,1,33,35,14621414,16094232,,7213.42,1,184,355
34,63,2,2,5,162,1736962,67445552,,31322.95,1,185,356
34,63,2,1,5,162,1736962,67445552,,31322.95,1,185,357
34,63,2,9,5,162,1736962,67445552,,31322.95,1,185,358
34,63,2,13,5,162,1736962,67445552,,31322.95,1,185,359
34,63,2,4,5,162,1736962,67445552,,31322.95,1,185,360
34,63,2,14,5,162,1736962,67445552,,31322.95,1,185,361
13,20,2,1,5,23,2560250,9971543,,7825,1,186,362
13,20,2,3,5,23,2560250,9971543,,7825,1,186,363
7,13,2,1,10,29,1498245,9738808,,9950.46,1,34,364
20,31,2,10,6,97,2403809,24831632.51,,17191.12,1,187,365
20,31,2,1,6,97,2403809,24831632.51,,17191.12,1,187,366
6,8,2,2,13,18,6275374,8128174,,2523.39,1,188,367
2,4,2,7,3,7,1799155,3876555,,,1,120,368
3,4,2,1,2,2,2550000,2550000,,1000,1,131,369
3,4,2,4,2,2,2550000,2550000,,1000,1,131,370
15,19,2,7,4,80,2202500,47935755,,6850,1,68,371
15,19,2,1,4,80,2202500,47935755,,6850,1,68,372
15,19,2,4,4,80,2202500,47935755,,6850,1,68,373
15,19,2,14,4,80,2202500,47935755,,6850,1,68,374
15,23,2,16,4,20,1827138,12350528,,11638.51,1,189,375
15,23,2,2,4,20,1827138,12350528,,11638.51,1,189,376
15,23,2,1,4,20,1827138,12350528,,11638.51,1,189,377
3,4,2,2,3,15,3298400,7913750,,9062.95,1,25,378
2,2,1,15,0,0,,,,4604.24,1,190,379
34,63,2,2,27,162,9813425,67445552,,31322.95,1,191,380
20,31,2,12,12,97,4859577,24831632.51,,17191.12,1,61,381
2,7,2,2,7,14,4580460,9506960,,8000,1,63,382
34,63,2,9,6,162,967270,67445552,,31322.95,1,64,383
34,63,2,13,6,162,967270,67445552,,31322.95,1,64,384
6,8,2,12,5,18,1852800,8128174,,2523.39,1,65,385
34,63,2,14,4,162,1813265,67445552,,31322.95,1,83,386
2,7,2,11,6,18,3052800,9433525,,10266.21,1,192,387
0,0,2,5,2,5,330488,1174988,,3730,1,193,388
1,2,2,13,7,7,3827959,3827959,,1207,1,194,389
1,2,2,10,7,7,3827959,3827959,,1207,1,194,390
1,2,2,3,7,7,3827959,3827959,,1207,1,194,391
1,2,2,5,7,7,3827959,3827959,,1207,1,194,392
1,3,2,5,7,8,2264562,2604562,,5154.68,1,195,393
1,3,2,8,7,8,2264562,2604562,,5154.68,1,195,394
1,3,2,12,7,8,2264562,2604562,,5154.68,1,195,395
2,5,2,14,1,8,300700,3210918,,2006.09,1,39,396
4,6,2,2,2,3,2250000,2771061,,,1,196,397
4,6,2,4,2,3,2250000,2771061,,,1,196,398
4,6,2,7,12,14,3535256,4166806,,4220.16,1,17,399
4,6,2,12,12,14,3535256,4166806,,4220.16,1,17,400
4,6,2,1,12,14,3535256,4166806,,4220.16,1,17,401
11,18,2,16,8,37,2437450,13126580,,20438.33,1,197,402
1,2,2,8,3,3,2499000,2499000,,523.56,1,198,403
1,2,2,1,3,3,2499000,2499000,,523.56,1,198,404
1,2,2,2,3,3,2499000,2499000,,523.56,1,198,405
6,10,2,3,6,13,777021,2482885,,2000,1,199,406
6,10,2,7,6,13,777021,2482885,,2000,1,199,407
6,10,2,10,6,13,777021,2482885,,2000,1,199,408
6,10,2,1,6,13,777021,2482885,,2000,1,199,409
1,2,2,7,9,9,1935280,1935280,,500,1,200,410
1,8,2,7,2,19,355000,4527996,,4068.33,1,201,411
1,8,2,9,2,19,355000,4527996,,4068.33,1,201,412
5,7,2,4,1,2,253440,470437,,500,1,202,413
5,7,2,10,1,2,253440,470437,,500,1,202,414
5,7,2,5,1,2,253440,470437,,500,1,202,415
11,18,2,9,6,37,1368800,13126580,,20438.33,1,203,416
11,18,2,2,6,37,1368800,13126580,,20438.33,1,203,417
8,15,2,12,9,33,3584918,12036790,,2245.42,1,204,418
8,15,2,4,9,33,3584918,12036790,,2245.42,1,204,419
8,15,2,1,9,33,3584918,12036790,,2245.42,1,204,420
1,2,2,11,4,4,867699,867699,,1000,1,205,421
1,2,2,2,4,4,867699,867699,,1000,1,205,422
6,10,2,2,6,13,777021,2482885,,2000,1,199,423
4,6,2,8,12,14,3535256,4166806,,4220.16,1,17,424
4,6,2,5,12,14,3535256,4166806,,4220.16,1,17,425
4,5,2,2,0,1,,164000,,1500,1,206,426
2,2,2,2,0,0,,,,1700,1,10,427
5,8,2,2,0,6,,3162715,,5868.7,1,207,428
1,3,2,2,0,4,,881698,,850,1,208,429
3,4,2,2,0,2,,1266900,,2100,1,209,430
7,11,2,2,0,11,,3766290,,750,1,210,431
3,4,2,2,0,7,,4554529,,450,1,211,432
2,5,2,16,0,8,,3210918,,2006.09,1,212,433
11,18,2,2,0,37,645000,13126580,,20438.33,1,213,434
2,3,2,2,0,1,,200447,,1790,1,214,435
8,13,2,8,0,10,,4633846,,3346,1,215,436
5,8,2,2,0,7,,1889147,,1095,1,216,437
10,13,2,2,0,10,,4122644,,2106.25,1,217,438
5,9,2,2,0,8,,2839649,,1530,1,218,439
5,7,2,2,0,7,,1330798,,3219.98,1,219,440
1,2,2,2,0,1,,451668,,3100,1,220,441
2,2,2,2,0,0,,,,500,1,221,442
8,8,2,1,0,0,,,,500,1,222,443
3,3,2,2,0,0,815920,815920,,500,1,223,444
3,3,2,2,0,0,,,,500,1,224,445
8,15,2,2,0,33,654000,12036790,,2245.42,1,225,446
3,3,2,2,0,0,,,,5148.24,1,226,447
1,3,2,2,0,5,,2205375,,3400,1,227,448
21,32,2,2,0,23,,8833757,,,1,228,449
21,32,2,2,0,23,5205100,8833757,,11174.5,1,229,450
21,32,2,2,0,23,,8833757,,,1,230,451
4,4,3,7,0,0,,,,10500,1,231,452
1,1,3,2,0,0,,,,500,1,232,453
17,24,3,2,0,26,,9948686,,19020.71,1,233,454
15,27,3,2,0,36,,22307073,,24693.57,1,234,455
17,24,3,17,0,26,,9948686,,19020.71,1,201,456
15,27,3,2,0,36,,22307073,,24693.57,1,235,457
2,2,4,12,0,0,,,,,1,236,458
16,26,4,1,0,49,,20431420,,,1,237,459
16,26,4,2,0,49,,20431420,,,1,83,460
3,5,4,2,0,5,,2043000,,,1,238,461
