adj_type_group_id,adj_type_id,allocation_bucket_id,company_id,compensafe_amt,compensafe_bps,compensafe_bucket_id,compensafe_event_date,compensafe_event_id,cra_net_amt,cra_paid_amt,cra_traded_amt,department_id,employee_id,inclusion_reason_id,insert_user_id,inserted_at,loan_id,net_spec_amt,payroll_reg_earnings_bom_amt,product_id,rent_bom_amt,reporting_period_id,source_row_hash,spec_bulk_adj_amt,spec_paid_amt,spec_traded_amt,state_id,vp_id
1,3,1,1,,-0.0194,1,2022-04-07,26,0,0,0,11,24,1,1,,9,0,,7,,1,30d547c4d10fc99914ec6ba5be4950cb47accade,0,0,0,7,9
1,1,1,1,,-0.6382,1,2016-02-08,27,0,0,0,11,23,1,1,,9,0,,7,,1,026d2cf0524eceb5d7d8d55f4abff439446f5214,0,0,0,7,9
2,2,2,1,,1.836,1,2016-02-08,28,0,0,0,2,25,1,1,,9,0,,7,,1,4e3a2c3641c266f28633ef7de509d64dcaf7fdbe,0,0,0,7,9
6,10,7,1,,-106,2,2012-02-01,29,0,0,0,2,25,1,1,,9,0,,7,,1,3466e4b62cf97b71065c6a2ac569b3e4956fc99a,0,0,0,7,9
1,1,1,1,,-0.0706,1,2012-02-01,30,0,0,0,1,22,1,1,,10,0,,7,,1,67774c69bbc6075bcd2b2f5f1869d14a53d98e9f,0,0,0,8,10
2,2,2,1,,3.125,1,2012-02-01,31,,,,2,26,1,1,,11,,,4,773.06,1,b6581dbfc66e216fe373ea73caec3e91e2f6a11f,,,,9,11
2,11,2,1,,-0.0781,1,2012-02-01,32,,,,2,26,1,1,,11,,,4,773.06,1,c0c848212f94041d3119259fb60cc6702431925f,,,,9,11
1,7,1,1,,-0.0611,1,2012-02-01,33,0,0,0,3,27,1,1,,12,287.96875,,1,276.27,1,ef193ae5ad2878459316e9f951e0002d455ca12d,287.96875,0,852.3875,4,12
3,12,3,1,,-0.0434,2,2012-02-01,34,0,0,0,6,6,1,1,,12,287.96875,,1,276.27,1,bfb4208e5f097c809bfd9167ec96b772693de95e,287.96875,0,852.3875,4,12
2,11,2,1,,0.2893,1,2012-02-01,35,0,0,0,2,28,1,1,,13,2092.645313,,8,35.18,1,64dce9c458f3bc7d8d0a71ef46876898b79b4c24,2092.645313,0,77.7654,4,13
1,3,1,1,,-0.0112,1,2012-02-01,36,0,0,0,3,29,1,1,,14,305.625,,7,,1,74535b52b50ab0d4de54cfe6709332a79bc7ab95,305.625,0,122.25,10,14
5,6,5,1,,-0.1021,1,2012-02-01,37,0,0,0,2,30,1,1,,14,305.625,,7,,1,3ba7559077cf36450b55705e5f6d40e179b69035,305.625,0,122.25,10,14
1,1,1,1,,-2.1656,1,2012-02-01,38,,,,5,31,1,1,,15,,,9,,1,a5259499f27bb282568e7f0b344e91a0f0529980,,,,5,15
3,13,3,1,,-1.6628,2,2012-02-01,39,,,,8,32,1,1,,15,,,9,,1,cd1824509c607229ef769ada17f09c5c886fcfd2,,,,5,15
1,7,1,1,,-0.001,1,2012-02-01,40,0,0,0,1,33,1,1,,16,0,,10,,1,1a071458aaea938926da455aa99faf93ad80d969,0,0,0,7,16
1,3,1,1,,-0.0014,1,2012-02-01,41,0,0,0,11,34,1,1,,16,0,,10,,1,4bfa3da3a6892067ec43e6bef5175fc9d7e99449,0,0,0,7,16
1,7,1,1,,-0.0993,1,2012-02-01,42,0,0,0,11,34,1,1,,16,0,,10,,1,a96f360e3992c110254676c913921cba0826ef36,0,0,0,7,16
1,1,1,1,,-1.6187,1,2012-02-01,43,0,0,0,11,34,1,1,,16,0,,10,,1,7d2d7fdc0f73bf2159b04f992a0dd0e5ae6530ad,0,0,0,7,16
3,4,3,1,,-1.5169,2,2012-02-01,44,0,0,0,11,34,1,1,,16,0,,10,,1,45d26f7ebfe1712ad212216f478ed995f1d8e221,0,0,0,7,16
6,14,7,1,,8.236,2,2012-02-01,45,0,0,0,10,35,1,1,,16,0,,10,,1,3f0cde13dc82f9badc0368e011e1e2079cc1d7e8,0,0,0,7,16
5,15,5,1,,-0.2879,1,2012-02-01,46,0,0,0,10,35,1,1,,16,0,,10,,1,10e75ab4910193fda803fbf32293ce0cfe382787,0,0,0,7,16
1,3,1,1,,-0.0026,1,2019-12-30,47,0,0,0,3,36,1,1,,16,0,,10,,1,f3520886a6f58ea89daf0e66df4207f72c093e7d,0,0,0,7,16
6,14,3,1,,-58,2,2021-10-22,48,0,0,0,2,37,1,1,,16,0,,10,,1,2835cb1d17403140cb046e18696e8829953b74f9,0,0,0,7,16
5,16,5,2,,-3.9565,1,2021-10-22,49,,,,2,38,1,1,,17,,,5,4220.16,1,543d6138c6dfb48b4b40bc7328a25a5519de1c18,,,,9,17
1,17,1,2,,-4.1408,1,2018-02-28,50,,,,2,39,1,1,,17,,,5,4220.16,1,be232df5ca55a0147cf8c73fafd9cf8cfa909920,,,,9,17
1,7,1,2,,-2.1476,1,2019-01-03,51,,,,8,40,1,1,,18,,,11,1000,1,3b0da866bc54fb8ec13459d4fa89384a1ce66e8f,,,,11,18
1,1,1,2,,-95.109,1,2019-01-03,52,,,,8,40,1,1,,18,,,11,1000,1,c9934ffa492403cd19f27f4dd1ce572fa8c71439,,,,11,18
3,13,3,2,,-3.9171,2,2019-12-30,53,,,,8,41,1,1,,19,,,12,833,1,3300410491fdaada10743370a9c1c8de46404cc2,,,,1,19
5,18,5,2,,-1.4027,1,2019-12-30,54,,,,2,42,1,1,,19,,,12,833,1,7cb7f42c3916dc945e5d5b1873f6bd73b3fe7553,,,,1,19
1,1,1,2,,-1.0654,1,2019-12-30,55,,,,4,43,1,1,,19,,,12,833,1,b39b1418f2f708824210e4f22c05aacc4e3f7d1a,,,,1,19
1,1,1,2,,-0.5876,1,2019-12-30,56,0,0,0,1,44,1,1,,20,-1211.25,,1,5365.52,1,540d9f8fa2736d49ad541e7c7b228aaa2a188aa7,0,-1211.25,2036.414063,12,20
1,1,1,2,,-3.8965,1,2019-12-30,57,0,0,0,5,45,1,1,,20,-1211.25,,1,5365.52,1,cba20814c99a62163314cc3ce5241a3ef29896ff,0,-1211.25,2036.414063,12,20
3,4,3,2,,-3.87,2,2018-02-28,58,0,0,0,5,45,1,1,,20,-1211.25,,1,5365.52,1,8785e3f03448119334e6fddc334a6717309d32cd,0,-1211.25,2036.414063,12,20
1,1,1,2,,-0.4347,1,2018-02-28,59,0,0,0,4,46,1,1,,20,-1211.25,,1,5365.52,1,8e30ce747ad354f3d081760d2a8ad8eea29065b7,0,-1211.25,2036.414063,12,20
1,3,1,2,,-0.0352,1,2018-02-28,60,0,0,0,3,47,1,1,,20,-1211.25,,1,5365.52,1,f4ced6a71dfac2862f0084257201fcfea2d04fdb,0,-1211.25,2036.414063,12,20
1,7,1,2,,-1.5372,1,2018-02-28,61,0,0,0,2,48,1,1,,20,-1211.25,,1,5365.52,1,a600eb76d9f0a0884343d69496f61cb915681f87,0,-1211.25,2036.414063,12,20
1,7,1,2,,-0.0004,1,2018-02-28,62,0,0,0,4,49,1,1,,21,-831.25,,1,2000,1,d02f5c302c0cbaf098e437da35728f48ba62d0b1,0,-831.25,1345.214844,13,21
1,3,1,2,,-0.3158,1,2022-05-02,63,0,0,0,3,50,1,1,,21,-831.25,,1,2000,1,c51647ab0331b990fce084944e168779343000ff,0,-831.25,1345.214844,13,21
7,19,6,2,,-25,2,2022-05-02,64,0,0,0,2,51,1,1,,21,-831.25,,1,2000,1,0483052835cab1420d6f614c1172bcea0f705f00,0,-831.25,1345.214844,13,21
1,1,1,2,,-4.4286,1,2022-05-02,65,0,0,0,3,52,1,1,,22,0,,13,250,1,99a9d5ef3c10aff3ff417f0285c48e8623cc44ca,0,0,0,14,22
3,20,8,2,,-116.48,1,2022-05-02,66,0,0,0,2,53,1,1,,22,0,,13,250,1,46ac704aa15252246aebed4dd0b8528cdf8f8ebe,0,0,0,14,22
1,7,1,3,,-0.0661,1,2021-02-01,67,,,,7,54,1,1,,23,,,3,-1463.33,1,60b1719a21ef263f502c411a0d6a21965e6599bb,,,,4,23
1,3,1,3,,-0.2357,1,2021-10-06,68,,,,4,55,1,1,,23,,,3,-1463.33,1,4d4326ca6310a13c7c9ea23c40108d94e492fad2,,,,4,23
1,1,1,3,,-1.4616,1,2021-10-06,69,,,,4,55,1,1,,23,,,3,-1463.33,1,889cfded989600576882615175fc58905e8d2b4c,,,,4,23
1,7,1,3,,-0.3553,1,2022-01-03,70,0,0,0,8,56,1,1,,24,375,,1,-1463.33,1,1cdd9cb40ae6cc1b760ef2395552fdf049d2d341,375,0,468,4,24
8,21,2,3,,-5.5322,1,2022-01-03,71,0,0,0,2,57,1,1,,24,375,,1,-1463.33,1,74a2f12b4b5b22f1b43f81c4eed7e33c081d94dc,375,0,468,4,24
1,1,1,3,,-2.7662,1,2010-07-13,72,,,,1,58,1,1,,25,,,4,1500,1,9d8d24208207853c95252fc3c67c41544e84bf8a,,,,4,25
1,1,1,3,,-0.0318,1,2010-07-13,73,,,,1,58,1,1,,25,,,4,1500,1,c2dd362ae7177f49cf4d8552d4c19c2dcf9eb0f6,,,,4,25
1,1,1,4,,-3.4128,1,2010-07-13,74,0,0,0,1,59,1,1,,26,0,,14,,1,9fa338954df66047336e7ba097f59a05da50f2d9,0,0,0,13,26
8,22,2,4,,12.8899,1,2010-07-13,75,0,0,0,2,60,1,1,,26,0,,14,,1,6e1531c815ebdde489fa5c9bb229386ec6052cf1,0,0,0,13,26
1,7,1,4,,-0.1134,1,2010-07-13,76,0,0,0,1,61,1,1,,26,0,,14,,1,e06260794a7a29de559e4b0f14d072fabeef7557,0,0,0,13,26
4,5,3,4,,-1.0292,2,2010-07-13,77,0,0,0,1,62,1,1,,26,0,,14,,1,110148a47ce818f6d814f599d4c849166d9ad8d7,0,0,0,13,26
3,9,6,4,,-2.25,2,2010-07-13,78,0,0,0,2,63,1,1,,27,-272,,1,2291.67,1,86f26e0b89c2bc594e20ae2853429e38f6a1df4d,0,-272,1901.875,13,27
1,1,1,4,,-0.2937,1,2010-07-13,79,0,0,0,3,64,1,1,,27,-272,,1,2291.67,1,b9338453e9f5f187b9a951a4795d463395d18e2f,0,-272,1901.875,13,27
1,1,1,4,,-15.3712,1,2010-07-13,80,0,0,0,5,65,1,1,,27,-272,,1,2291.67,1,92b091e2aa777a70b43da3032d0da8f82b2f349e,0,-272,1901.875,13,27
3,4,3,4,,-2.7574,2,2010-07-13,81,0,0,0,5,65,1,1,,27,-272,,1,2291.67,1,431c70d2386b64e7a1ca6a1e2b34e207c93f1779,0,-272,1901.875,13,27
1,7,1,4,,-0.5205,1,2011-09-16,82,0,0,0,4,66,1,1,,27,-272,,1,2291.67,1,d6588452da3c63a4fd07bf5e89e7faa84203e669,0,-272,1901.875,13,27
1,1,1,4,,-17.1897,1,2011-09-16,83,0,0,0,4,66,1,1,,27,-272,,1,2291.67,1,e86f3d314ef9156d7a38c5a4abb99396d6419dd5,0,-272,1901.875,13,27
1,1,1,1,,-2.4351,1,2011-09-16,84,0,0,0,3,36,1,1,,28,-648,,7,234.42,1,64210c9f510ab9a570be4672ba590f5acb8bd0c5,0,-648,1999.6875,15,28
1,3,1,1,,-0.2509,1,2006-05-01,85,1454.6875,0,1454.6875,5,31,1,1,,29,-814.625,,1,917.42,1,3f6459c860177eed3d67cc416269c40bcfcccef4,0,-814.625,1521.7195,16,29
9,23,9,1,,-1.6384,1,2006-05-01,86,1454.6875,0,1454.6875,4,67,1,1,,29,-814.625,,1,917.42,1,298c2ad67342d63f37bb891f2fbec2d055397ffb,0,-814.625,1521.7195,16,29
3,9,6,1,,-1.25,2,2015-02-02,87,0,0,0,10,68,1,1,,30,0,,7,4548.9,1,77616fb7e0e84f1931d7d2c632c22b11ec4266a2,0,0,0,17,30
1,7,1,1,,-0.0507,1,2015-02-02,88,0,0,0,3,36,1,1,,30,0,,7,4548.9,1,87832e6647b5c156582b8bb7df86ba4e92dd7de4,0,0,0,17,30
1,1,1,1,,-0.5874,1,2015-02-02,89,0,0,0,3,21,1,1,,31,3676.401406,,8,107.25,1,50a1ea71c909ea5181b45932f08090973e896881,3676.401406,0,303.5996,4,31
1,3,1,1,,-0.001,1,2014-09-29,90,0,0,0,4,69,1,1,,32,0,,15,340.82,1,90890802fc03b5f64c3fbecaed7a9dafc3c57965,0,0,0,5,32
3,12,6,1,,-8,2,2017-06-01,91,0,0,0,2,70,1,1,,32,0,,15,340.82,1,7f7e53bb754697b6d83917e20ff2c4949d223c69,0,0,0,5,32
1,7,1,1,,-0.1383,1,2017-06-01,92,0,0,0,8,71,1,1,,32,0,,15,340.82,1,a8861b4d0dcfb380302da13d7c845eb41de9de87,0,0,0,5,32
2,2,2,1,,14.1796,1,2017-06-01,93,0,0,0,2,72,1,1,,32,0,,15,340.82,1,f0cbf9a9b8ab0280efb789c1aecd9cdf5ee6552b,0,0,0,5,32
1,1,1,1,,-0.0318,1,2017-06-01,94,,,,6,6,1,1,,33,,,16,2072.16,1,776aa0146d0d55d30cd17221a19a18bd923c7609,,,,18,33
6,10,7,1,,-124,2,2024-05-03,95,,,,2,73,1,1,,33,,,16,2072.16,1,a3a2c4bd9b00ed021a8ee463cd5132fd914a2da9,,,,18,33
5,24,5,1,,-0.727,1,2024-05-03,96,0,0,0,2,74,1,1,,34,0,,7,530,1,0f5da700ea1ac6eba66e084ea3347a7ba59b28bb,0,0,0,19,34
7,19,6,2,,-5.5002,2,2024-05-03,97,0,0,0,9,75,1,1,,35,-233.1975,,17,2946,1,ecdb468731ca601d3b8ea74641442b395f9c7fec,0,-233.1975,1574.083125,20,35
5,24,5,2,,-17.5459,1,2024-05-03,98,0,0,0,2,76,1,1,,35,-233.1975,,17,2946,1,9166fa55e8a912b174ec313a2463936004c0b689,0,-233.1975,1574.083125,20,35
1,7,1,2,,-0.0024,1,2012-02-01,99,0,0,0,11,77,1,1,,36,33.398438,,18,3730,1,8a9bc9ac9807fb9b2358ef0b4883e0a7d0097960,33.398438,0,923.4,20,36
7,19,6,2,,-0.1247,2,2024-09-23,100,0,0,0,12,78,1,1,,37,-1058.75,,7,1918.81,1,1d210f1868b793ed32ad8f398782004f27213bda,0,-1058.75,1404.648438,21,37
1,7,1,2,,-0.2353,1,2017-02-13,101,0,0,0,11,79,1,1,,37,-1058.75,,7,1918.81,1,abd16c75980dceb092d6fede6e043bc91540b946,0,-1058.75,1404.648438,21,37
1,3,1,2,,-0.3632,1,2017-02-13,102,0,0,0,3,80,1,1,,37,-1058.75,,7,1918.81,1,85aeccd7863cdca4b3d256f5a988d171b0957b0e,0,-1058.75,1404.648438,21,37
1,1,1,2,,-29.4012,1,2017-02-13,103,0,0,0,11,81,1,1,,37,-1058.75,,7,1918.81,1,d8de2ff968d4c417901198232e2c6435c558455c,0,-1058.75,1404.648438,21,37
7,19,6,2,,-6.0002,2,2017-02-13,104,0,0,0,9,82,1,1,,38,-795.72,,1,1228.48,1,5c414fe3b7fd91435d994fdf8b5184f62fce1f14,0,-795.72,1525.13,22,38
1,7,1,2,,-0.0003,1,2017-02-13,105,0,0,0,13,83,1,1,,38,-795.72,,1,1228.48,1,9792aea339a0a6b5a8ba015fa8eac1b6fef3b9ff,0,-795.72,1525.13,22,38
1,3,1,2,,-0.0495,1,2017-02-13,106,,,,3,52,1,1,,39,,,5,2792.1,1,ec16a9c4ada16a549b6fe4a23a718bc09f19cf0d,,,,10,39
1,1,1,2,,-4.8287,1,2024-08-26,107,,,,3,52,1,1,,39,,,5,2792.1,1,73273cba14f6da97775836d805eb7a927e707543,,,,10,39
3,12,3,2,,-7.7882,2,2024-08-26,108,,,,5,84,1,1,,39,,,5,2792.1,1,facfec886f87ad93eabb1abcebbd77f884b2dd9f,,,,10,39
7,19,6,2,,-12,2,2024-09-23,109,593.75,0,593.75,9,85,1,1,,40,-1187.5,,1,2245.42,1,858c93abf5c3ea9e1a4d59d89ea2613dd96b2961,0,-1187.5,1609.3,9,40
1,7,1,2,,-0.8005,1,2024-09-23,110,593.75,0,593.75,5,86,1,1,,40,-1187.5,,1,2245.42,1,db703d65a2c111122f360207063b4187f3cd184e,0,-1187.5,1609.3,9,40
7,19,6,2,,-0.2684,2,2024-10-21,111,593.75,0,593.75,12,87,1,1,,40,-1187.5,,1,2245.42,1,91211f0fc2efd500d2fea686404c46dcc0660938,0,-1187.5,1609.3,9,40
5,24,5,2,,-3.9393,1,2024-10-21,112,593.75,0,593.75,2,88,1,1,,40,-1187.5,,1,2245.42,1,a6980a31811b87089ca52f3663e7490115e17f4d,0,-1187.5,1609.3,9,40
1,1,1,2,,-13.3512,1,2024-06-24,113,593.75,0,593.75,1,89,1,1,,40,-1187.5,,1,2245.42,1,e2908f431095fad47ce1f9e8e0478378b265afbc,0,-1187.5,1609.3,9,40
1,7,1,2,,-0.0434,1,2024-09-23,114,0,0,0,3,90,1,1,,41,0,,19,5868.7,1,43d32844cd868de90144479e732c62494c70198e,0,0,0,18,41
3,12,3,2,,-7,2,2024-09-23,115,0,0,0,2,91,1,1,,41,0,,19,5868.7,1,b6d6017bd2147123ae649baa10d64192df90fc31,0,0,0,18,41
6,14,3,2,,-20,2,2024-09-23,116,0,0,0,2,92,1,1,,41,0,,19,5868.7,1,49e9011e17c6f435828966f69745d15858bcea3c,0,0,0,18,41
1,1,1,2,,-3.8406,1,2024-09-23,117,0,0,0,8,93,1,1,,41,0,,19,5868.7,1,db1408af600d9a384b979721bc39e37b4702cc3f,0,0,0,18,41
10,25,2,2,,0.127,1,2024-09-23,118,0,0,0,2,94,1,1,,42,3018.75,,20,4043.56,1,21f598f6e7851896f0c0cfed19e66c9395aa4eec,3018.75,0,-1288,19,42
1,3,1,2,,-0.0222,1,2024-09-23,119,0,0,0,7,95,1,1,,42,3018.75,,20,4043.56,1,581acda1051f3e169f2664934b9345dc19edb0bd,3018.75,0,-1288,19,42
1,7,1,2,,-0.2791,1,2024-06-24,120,0,0,0,1,96,1,1,,42,3018.75,,20,4043.56,1,e3a990dc1359a35ddd3da817b5fffcba429d8b06,3018.75,0,-1288,19,42
1,1,1,2,,-9.9248,1,2024-06-24,121,0,0,0,1,96,1,1,,42,3018.75,,20,4043.56,1,99971ca7553bc20b45d6f5baabdfb6762b6141b5,3018.75,0,-1288,19,42
1,7,1,2,,-0.507,1,2024-06-24,122,0,0,0,4,97,1,1,,42,3018.75,,20,4043.56,1,ced2bf9077163e415d3fa0cb6b104fc64b23c3e5,3018.75,0,-1288,19,42
1,1,1,2,,-8.3129,1,2024-08-26,123,,,,7,98,1,1,,43,,,2,,1,db48c9ca2a172759d413fe21f154c052f823ce77,,,,23,43
1,7,1,2,,-15.0547,1,2024-08-26,124,,,,5,99,1,1,,44,,,11,,1,8b629e265318732f992dcc205efc2e65c712a32f,,,,23,43
1,1,1,2,,-85.4701,1,2024-08-26,125,,,,2,100,1,1,,44,,,11,,1,4ed7ac77732427de25f9078fbcded90a4e130630,,,,23,43
1,1,1,3,,-2.2106,1,2024-08-26,126,0,0,0,2,81,1,1,,45,0,,7,24693.57,1,1162b4a34c367bbe0c57bd66a071aae790564fda,0,0,289.0625,18,44
1,1,1,3,,-7.6945,1,2024-08-26,127,0,0,0,1,101,1,1,,46,193.309063,,8,24693.57,1,4c217fbc2251cb0466ad24f5bf46060c08702bc4,193.309063,0,3062.01555,18,45
1,7,1,3,,-0.0001,1,2024-06-24,128,,,,2,102,1,1,,47,,,4,18793.19,1,b1beadb74978e99080fb1eeed2811034844d66ff,,,,10,46
1,3,1,3,,-0.0637,1,2024-06-24,129,,,,1,103,1,1,,47,,,4,18793.19,1,2d7cc31aa9323d4e1ae559980dd5b6d503385543,,,,10,46
1,7,1,3,,-0.1132,1,2024-06-24,130,,,,1,103,1,1,,47,,,4,18793.19,1,d2094a66b634c6658e65c9ee31d350ee8bb3e9a3,,,,10,46
1,1,1,3,,-1.9937,1,2024-06-24,131,,,,1,103,1,1,,47,,,4,18793.19,1,50eee2da0807f7398607f2166b7687f5f4f3c400,,,,10,46
3,13,3,3,,-0.3731,2,2021-02-15,132,,,,7,104,1,1,,47,,,4,18793.19,1,9ab08116d7d76298b01784df609892e427b259e6,,,,10,46
1,7,1,3,,-0.0001,1,2021-02-15,133,,,,2,105,1,1,,47,,,4,18793.19,1,bcce8e914e0cdc7c897c91b7f280c6850d51085b,,,,10,46
9,23,9,3,,-0.8452,1,2021-02-15,134,,,,3,106,1,1,,48,,,4,18793.19,1,a7c587cbd45d375e47b013c13e86f1f9959c414f,,,,10,46
1,7,1,3,,-0.0811,1,2021-02-15,135,,,,14,107,2,1,,49,,,21,18793.19,1,1ee683cbc1165225cbdf2116efa7d8d742aa781b,,,,4,47
1,3,1,3,,-0.0031,1,2019-11-18,136,,,,3,108,2,1,,49,,,21,18793.19,1,61457be58d118c0347b6ce511734102786fc7f39,,,,4,47
1,3,1,3,,-0.0088,1,2019-11-18,137,,,,4,109,2,1,,49,,,21,18793.19,1,6d70f5b66a38d62edffef2bd7239c888e8583683,,,,4,47
5,24,5,3,,-3.2402,1,2019-11-18,138,,,,2,4,2,1,,49,,,21,18793.19,1,d6dafcc5abff28e3cd379c66d68b318b87394735,,,,4,47
1,1,1,3,,-1.9195,1,2019-11-18,139,,,,1,55,2,1,,49,,,21,18793.19,1,285a65c4964eb72564eec276c8a36d751d8ca1af,,,,4,47
1,3,1,3,,-0.5584,1,2019-11-18,140,0,0,0,4,110,1,1,,50,372.5,,7,500,1,22ef87fb3bbad3ab3bb4b383c01f536f9ad233ba,372.5,0,95.36,10,48
1,3,1,3,,-0.332,1,2021-10-13,141,0,0,0,3,111,1,1,,50,372.5,,7,500,1,a6838b1179bb6cced7a9d4761c64a3d8e560801f,372.5,0,95.36,10,48
1,7,1,3,,-0.1252,1,2021-10-13,142,,,,3,111,2,1,,51,,,22,500,1,0573c942c3358cce64734f12eb21d52c3352dc68,,,,10,48
1,17,1,3,,11.0141,1,2021-10-13,143,,,,2,112,2,1,,51,,,22,500,1,14e12294d397cf7102658acf0e4c27948b4b3362,,,,10,48
8,22,2,4,,32.0342,1,2024-06-26,144,0,0,0,2,113,1,1,,52,-1530,,23,,1,63550330391fce0824c339b22b3cc33d5113462c,0,-1530,1822.851563,24,49
1,1,1,4,,-3.051,1,2024-07-25,145,0,0,0,4,114,1,1,,52,-1530,,23,,1,13902b4ba893f5a544c099f4701b7bf4a2f899c3,0,-1530,1822.851563,24,49
7,19,6,2,,-1,2,2021-10-13,146,0,0,0,2,115,1,1,,53,187.03125,,7,1350.17,1,3571143dfb90a077d604c47cb15a56a1b0575382,400.78125,-213.75,1265.4,10,50
1,1,1,2,,-0.0488,1,2021-10-13,147,0,0,0,15,94,1,1,,53,187.03125,,7,1350.17,1,edd2d1924bbb193ac42297ca80cdebf46c3afc8e,400.78125,-213.75,1265.4,10,50
