detected_at,dq_issue_id,issue_detail,issue_type,severity,source_business_key,source_table_name
2026-02-22 22:02:43,17,funded_units_in_cost_center: 2.0 vs 0.0 (source_row=339),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,18,funded_units_in_cost_center: 2.0 vs 0.0 (source_row=340),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,19,funded_units_in_cost_center: 2.0 vs 20.0 (source_row=341),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,20,funded_volume_in_cost_center: 1312774.0 vs 9760564.0 (source_row=341),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,21,funded_units_in_cost_center: 2.0 vs 20.0 (source_row=342),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,22,funded_volume_in_cost_center: 1312774.0 vs 9760564.0 (source_row=342),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,23,funded_units_in_cost_center: 2.0 vs 4.0 (source_row=343),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,24,funded_volume_in_cost_center: 1312774.0 vs 3261775.0 (source_row=343),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,25,funded_units_in_cost_center: 2.0 vs 1.0 (source_row=344),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,26,funded_volume_in_cost_center: 1312774.0 vs 317500.0 (source_row=344),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,27,funded_units_in_cost_center: 2.0 vs 0.0 (source_row=345),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,28,funded_units_in_cost_center: 2.0 vs 0.0 (source_row=346),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,29,funded_volume_in_cost_center: 1312774.0 vs 1949664.0 (source_row=347),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,30,funded_units_in_cost_center: 2.0 vs 0.0 (source_row=348),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,31,funded_units_in_cost_center: 2.0 vs 4.0 (source_row=349),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,32,funded_volume_in_cost_center: 1312774.0 vs 1536772.0 (source_row=349),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,33,funded_units_in_cost_center: 2.0 vs 4.0 (source_row=350),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,34,funded_volume_in_cost_center: 1312774.0 vs 3261775.0 (source_row=350),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,35,funded_units_in_cost_center: 2.0 vs 0.0 (source_row=351),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,36,funded_units_in_cost_center: 2.0 vs 9.0 (source_row=352),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,37,funded_volume_in_cost_center: 1312774.0 vs 2677724.0 (source_row=352),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,38,funded_units_in_cost_center: 2.0 vs 0.0 (source_row=353),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,39,funded_units_in_cost_center: 2.0 vs 0.0 (source_row=354),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,40,funded_units_in_cost_center: 2.0 vs 3.0 (source_row=358),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,41,funded_volume_in_cost_center: 1312774.0 vs 577268.0 (source_row=358),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,42,funded_units_in_cost_center: 2.0 vs 0.0 (source_row=359),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,43,funded_units_in_cost_center: 2.0 vs 0.0 (source_row=360),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,44,funded_units_in_cost_center: 2.0 vs 5.0 (source_row=361),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,45,funded_volume_in_cost_center: 1312774.0 vs 1022950.0 (source_row=361),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,46,company_id: 1 vs 2 (source_row=362),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,47,funded_units_in_cost_center: 2.0 vs 6.0 (source_row=362),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,48,funded_volume_in_cost_center: 1312774.0 vs 1748023.0 (source_row=362),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,49,company_id: 1 vs 2 (source_row=363),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,50,funded_units_in_cost_center: 2.0 vs 7.0 (source_row=363),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,51,funded_volume_in_cost_center: 1312774.0 vs 2647559.0 (source_row=363),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,52,company_id: 1 vs 2 (source_row=364),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,53,funded_units_in_cost_center: 2.0 vs 3.0 (source_row=364),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,54,funded_volume_in_cost_center: 1312774.0 vs 1603450.0 (source_row=364),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,55,company_id: 1 vs 2 (source_row=365),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,56,funded_units_in_cost_center: 2.0 vs 3.0 (source_row=365),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,57,funded_volume_in_cost_center: 1312774.0 vs 1603450.0 (source_row=365),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,58,company_id: 1 vs 2 (source_row=366),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,59,funded_units_in_cost_center: 2.0 vs 17.0 (source_row=366),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,60,funded_volume_in_cost_center: 1312774.0 vs 4532971.0 (source_row=366),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,61,company_id: 1 vs 2 (source_row=367),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,62,funded_units_in_cost_center: 2.0 vs 17.0 (source_row=367),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,63,funded_volume_in_cost_center: 1312774.0 vs 4532971.0 (source_row=367),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,64,company_id: 1 vs 2 (source_row=368),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,65,funded_units_in_cost_center: 2.0 vs 19.0 (source_row=368),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,66,funded_volume_in_cost_center: 1312774.0 vs 4925187.0 (source_row=368),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,67,company_id: 1 vs 2 (source_row=369),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,68,funded_units_in_cost_center: 2.0 vs 19.0 (source_row=369),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,69,funded_volume_in_cost_center: 1312774.0 vs 4925187.0 (source_row=369),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,70,company_id: 1 vs 2 (source_row=370),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,71,funded_units_in_cost_center: 2.0 vs 19.0 (source_row=370),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,72,funded_volume_in_cost_center: 1312774.0 vs 4925187.0 (source_row=370),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,73,company_id: 1 vs 2 (source_row=371),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,74,funded_units_in_cost_center: 2.0 vs 4.0 (source_row=371),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,75,funded_volume_in_cost_center: 1312774.0 vs 1907211.37 (source_row=371),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,76,company_id: 1 vs 2 (source_row=372),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,77,funded_units_in_cost_center: 2.0 vs 1.0 (source_row=372),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,78,funded_volume_in_cost_center: 1312774.0 vs 689512.0 (source_row=372),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,79,company_id: 1 vs 2 (source_row=373),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,80,funded_units_in_cost_center: 2.0 vs 1.0 (source_row=373),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,81,funded_volume_in_cost_center: 1312774.0 vs 689512.0 (source_row=373),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,82,company_id: 1 vs 2 (source_row=374),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,83,funded_units_in_cost_center: 2.0 vs 47.0 (source_row=374),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,84,funded_volume_in_cost_center: 1312774.0 vs 16915354.25 (source_row=374),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,85,company_id: 1 vs 2 (source_row=375),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,86,funded_units_in_cost_center: 2.0 vs 25.0 (source_row=375),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,87,funded_volume_in_cost_center: 1312774.0 vs 9690271.0 (source_row=375),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,88,company_id: 1 vs 2 (source_row=376),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,89,funded_units_in_cost_center: 2.0 vs 49.0 (source_row=376),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,90,funded_volume_in_cost_center: 1312774.0 vs 18329432.0 (source_row=376),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,91,company_id: 1 vs 2 (source_row=377),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,92,funded_units_in_cost_center: 2.0 vs 49.0 (source_row=377),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,93,funded_volume_in_cost_center: 1312774.0 vs 18329432.0 (source_row=377),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,94,company_id: 1 vs 2 (source_row=378),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,95,funded_units_in_cost_center: 2.0 vs 49.0 (source_row=378),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,96,funded_volume_in_cost_center: 1312774.0 vs 18329432.0 (source_row=378),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,97,company_id: 1 vs 2 (source_row=379),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,98,funded_units_in_cost_center: 2.0 vs 47.0 (source_row=379),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,99,funded_volume_in_cost_center: 1312774.0 vs 16915354.25 (source_row=379),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,100,company_id: 1 vs 2 (source_row=380),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,101,funded_units_in_cost_center: 2.0 vs 6.0 (source_row=380),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,102,funded_volume_in_cost_center: 1312774.0 vs 1856875.0 (source_row=380),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,103,company_id: 1 vs 2 (source_row=381),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,104,funded_units_in_cost_center: 2.0 vs 8.0 (source_row=381),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,105,funded_volume_in_cost_center: 1312774.0 vs 2604562.0 (source_row=381),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,106,company_id: 1 vs 2 (source_row=382),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,107,funded_units_in_cost_center: 2.0 vs 11.0 (source_row=382),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,108,funded_volume_in_cost_center: 1312774.0 vs 3766290.0 (source_row=382),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,109,company_id: 1 vs 2 (source_row=383),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,110,funded_units_in_cost_center: 2.0 vs 1.0 (source_row=383),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,111,funded_volume_in_cost_center: 1312774.0 vs 291830.0 (source_row=383),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,112,company_id: 1 vs 2 (source_row=384),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,113,funded_units_in_cost_center: 2.0 vs 5.0 (source_row=384),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,114,funded_volume_in_cost_center: 1312774.0 vs 2473044.0 (source_row=384),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,115,active_sales_hc: 8.0 vs 3.0 (source_row=384),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 65, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,116,active_non_producing_sales_hc: 6.0 vs 2.0 (source_row=384),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 65, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,117,funded_units_in_cost_center: 18.0 vs 5.0 (source_row=384),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 65, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,118,funded_volume_in_cost_center: 8128174.0 vs 2473044.0 (source_row=384),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 65, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,119,funded_units_by_vp: 5.0 vs 0.0 (source_row=384),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 65, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,120,rent_bom_amt: 2523.39 vs 2307.0 (source_row=384),conflicting_deduped_fact_value,warning,"fact_workforce_period_snapshot|(1, 2, 65, 2)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,121,company_id: 1 vs 2 (source_row=385),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,122,funded_units_in_cost_center: 2.0 vs 23.0 (source_row=385),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,123,funded_volume_in_cost_center: 1312774.0 vs 6663491.0 (source_row=385),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,124,company_id: 1 vs 2 (source_row=386),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,125,funded_units_in_cost_center: 2.0 vs 5.0 (source_row=386),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,126,funded_volume_in_cost_center: 1312774.0 vs 4158197.0 (source_row=386),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,127,company_id: 1 vs 2 (source_row=387),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,128,funded_units_in_cost_center: 2.0 vs 3.0 (source_row=387),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,129,funded_volume_in_cost_center: 1312774.0 vs 483300.0 (source_row=387),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,130,company_id: 1 vs 2 (source_row=388),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,131,funded_units_in_cost_center: 2.0 vs 6.0 (source_row=388),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,132,funded_volume_in_cost_center: 1312774.0 vs 1047352.0 (source_row=388),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,133,company_id: 1 vs 2 (source_row=389),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,134,funded_volume_in_cost_center: 1312774.0 vs 1266900.0 (source_row=389),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,135,company_id: 1 vs 2 (source_row=390),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,136,funded_units_in_cost_center: 2.0 vs 6.0 (source_row=390),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,137,funded_volume_in_cost_center: 1312774.0 vs 3162715.0 (source_row=390),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,138,company_id: 1 vs 2 (source_row=391),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,139,funded_units_in_cost_center: 2.0 vs 7.0 (source_row=391),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,140,funded_volume_in_cost_center: 1312774.0 vs 1330798.0 (source_row=391),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
2026-02-22 22:02:43,141,company_id: 1 vs 2 (source_row=392),conflicting_deduped_fact_value,warning,"fact_loan_snapshot|(109, 1)",Duke Data V4 (1).xlsx
